Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,,20% discount price,30% discount price,,
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,,1.118,1.677,20%,30%
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,,1.908,2.862,,
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,,1.97,2.955,,
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,,0.83,1.245,,
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,,1.374,2.061,,
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,,1.966,2.949,,
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,,1.624,2.436,,
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,,1.722,2.583,,
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,,1.778,2.667,,
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,,1.784,2.676,,
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,,0.72,1.08,,
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0,,2.076,3.114,,
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0,,1.988,2.982,,
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,,1.542,2.313,,
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,,1.442,2.163,,
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,,2.158,3.237,,
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,,2.158,3.237,,
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,,2.158,3.237,,
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,,1.018,1.527,,
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,,1.596,2.394,,
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,,0.79,1.185,,
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,,1.142,1.713,,
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,,1.602,2.403,,
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,,0.692,1.038,,
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0,,0.882,1.323,,
swift,2011,3,4.99,20000,Petrol,Dealer,Manual,0,,0.998,1.497,,
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,,1.174,1.761,,
swift,2017,6,6.49,16200,Petrol,Individual,Manual,0,,1.298,1.947,,
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,,0.79,1.185,,
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,,2.076,3.114,,
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0,,1.196,1.794,,
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,,0.978,1.467,,
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,,1.498,2.247,,
ertiga,2014,6,9.95,45000,Diesel,Dealer,Manual,0,,1.99,2.985,,
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,,1.612,2.418,,
sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0,,1.548,2.322,,
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0,,1.44,2.16,,
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0,,0.456,0.684,,
alto k10,2016,3,3.76,10079,Petrol,Dealer,Manual,0,,0.752,1.128,,
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,,1.596,2.394,,
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,,1.574,2.361,,
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,,0.796,1.194,,
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,,1.43,2.145,,
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,,1.612,2.418,,
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,,0.538,0.807,,
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,,2.408,3.612,,
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,,0.978,1.467,,
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,,0.83,1.245,,
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,,1.542,2.313,,
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,,1.858,2.787,,
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,,6.122,9.183,,
fortuner,2015,23,30.61,40000,Diesel,Dealer,Automatic,0,,6.122,9.183,,
innova,2017,18,19.77,15000,Diesel,Dealer,Automatic,0,,3.954,5.931,,
fortuner,2013,16,30.61,135000,Diesel,Individual,Automatic,0,,6.122,9.183,,
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0,,2.042,3.063,,
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,,3.008,4.512,,
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0,,1.454,2.181,,
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,,3.708,5.562,,
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,,1.36,2.04,,
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0,,7.192,10.788,,
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,,3.722,5.583,,
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,,1.54,2.31,,
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0,,7.192,10.788,,
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0,,7.192,10.788,,
fortuner,2017,33,36.23,6000,Diesel,Dealer,Automatic,0,,7.246,10.869,,
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,,1.39,2.085,,
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0,,4.63,6.945,,
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,,4.09,6.135,,
